date;municipality_id;municipality_name;municipality_population;dose_1;dose_2;dose_3;dose_4;dose_5+;vaccinated_according_to_recommendation;vaccinated_according_to_recommendation_percent
2022-11-16T23:59:59+01:00;10101;Eisenstadt;15485;12295;12048;9821;3038;43;9468;61.1430416532128
2022-11-16T23:59:59+01:00;10201;Rust;2008;1663;1641;1386;391;5;1317;65.5876494023904
2022-11-16T23:59:59+01:00;10301;Breitenbrunn am Neusiedler See;1922;1570;1552;1324;460;4;1256;65.3485952133195
2022-11-16T23:59:59+01:00;10302;Donnerskirchen;1854;1552;1533;1307;386;1;1270;68.5005393743258
2022-11-16T23:59:59+01:00;10303;Großhöflein;2099;1790;1758;1442;323;2;1387;66.0790852787041
2022-11-16T23:59:59+01:00;10304;Hornstein;3245;2628;2590;2152;648;6;2032;62.619414483821295
2022-11-16T23:59:59+01:00;10305;Klingenbach;1289;952;914;742;181;0;737;57.1761055081458
2022-11-16T23:59:59+01:00;10306;Leithaprodersdorf;1209;1070;1052;873;221;0;861;71.2158808933002
2022-11-16T23:59:59+01:00;10307;Mörbisch am See;2210;1902;1871;1566;531;6;1540;69.683257918552
2022-11-16T23:59:59+01:00;10308;Müllendorf;1420;1168;1153;961;295;0;920;64.7887323943662
2022-11-16T23:59:59+01:00;10309;Neufeld an der Leitha;3641;2893;2836;2308;635;2;2237;61.439165064542706
2022-11-16T23:59:59+01:00;10310;Oggau am Neusiedler See;1726;1522;1508;1300;426;1;1249;72.3638470451912
2022-11-16T23:59:59+01:00;10311;Oslip;1309;1107;1099;937;281;0;919;70.2062643239114
2022-11-16T23:59:59+01:00;10312;Purbach am Neusiedler See;2993;2452;2411;2043;577;5;2017;67.3905780153692
2022-11-16T23:59:59+01:00;10313;Sankt Margarethen im Burgenland;2701;2270;2245;1923;563;6;1884;69.75194372454649
2022-11-16T23:59:59+01:00;10314;Schützen am Gebirge;1435;1200;1185;978;313;0;963;67.1080139372822
2022-11-16T23:59:59+01:00;10315;Siegendorf;3243;2540;2493;2042;564;4;2014;62.102991057662706
2022-11-16T23:59:59+01:00;10316;Steinbrunn;3037;2420;2378;1912;522;3;1834;60.38854132367471
2022-11-16T23:59:59+01:00;10317;Trausdorf an der Wulka;2109;1792;1766;1511;391;5;1443;68.4210526315789
2022-11-16T23:59:59+01:00;10318;Wimpassing an der Leitha;1723;1279;1257;1024;221;2;998;57.92222867092279
2022-11-16T23:59:59+01:00;10319;Wulkaprodersdorf;1981;1598;1561;1265;297;1;1230;62.089853609288205
2022-11-16T23:59:59+01:00;10320;Loretto;512;399;392;326;96;1;314;61.328125
2022-11-16T23:59:59+01:00;10321;Stotzing;830;662;653;543;139;2;538;64.81927710843371
2022-11-16T23:59:59+01:00;10322;Zillingtal;1007;789;781;669;180;3;658;65.3426017874876
2022-11-16T23:59:59+01:00;10323;Zagersdorf;1139;926;914;773;203;0;758;66.54960491659351
2022-11-16T23:59:59+01:00;10401;Bocksdorf;806;650;633;531;114;1;531;65.8808933002481
2022-11-16T23:59:59+01:00;10402;Burgauberg-Neudauberg;1452;1022;997;790;210;2;772;53.168044077135
2022-11-16T23:59:59+01:00;10403;Eberau;919;746;736;632;251;4;605;65.8324265505985
2022-11-16T23:59:59+01:00;10404;Gerersdorf-Sulz;1042;847;840;699;234;3;683;65.54702495201529
2022-11-16T23:59:59+01:00;10405;Güssing;3603;2978;2934;2525;945;11;2359;65.4732167638079
2022-11-16T23:59:59+01:00;10406;Güttenbach;859;758;754;644;210;0;606;70.5471478463329
2022-11-16T23:59:59+01:00;10407;Heiligenbrunn;737;596;592;521;167;3;497;67.43554952510179
2022-11-16T23:59:59+01:00;10408;Kukmirn;2020;1537;1482;1240;347;3;1196;59.2079207920792
2022-11-16T23:59:59+01:00;10409;Neuberg im Burgenland;948;783;775;642;167;0;624;65.8227848101266
2022-11-16T23:59:59+01:00;10410;Neustift bei Güssing;444;368;364;307;96;1;303;68.2432432432432
2022-11-16T23:59:59+01:00;10411;Olbendorf;1476;1126;1101;891;219;1;866;58.672086720867206
2022-11-16T23:59:59+01:00;10412;Ollersdorf im Burgenland;940;758;741;597;159;1;586;62.3404255319149
2022-11-16T23:59:59+01:00;10413;Sankt Michael im Burgenland;1005;773;761;642;151;1;624;62.089552238806
2022-11-16T23:59:59+01:00;10414;Stegersbach;2720;2098;2047;1656;383;0;1603;58.93382352941179
2022-11-16T23:59:59+01:00;10415;Stinatz;1237;1013;993;800;228;1;779;62.974939369442204
2022-11-16T23:59:59+01:00;10416;Strem;906;770;757;644;227;0;598;66.00441501103751
2022-11-16T23:59:59+01:00;10417;Tobaj;1364;1097;1083;912;230;1;880;64.5161290322581
2022-11-16T23:59:59+01:00;10418;Hackerberg;375;287;280;232;65;0;230;61.3333333333333
2022-11-16T23:59:59+01:00;10419;Wörterberg;501;363;358;278;84;1;280;55.8882235528942
2022-11-16T23:59:59+01:00;10420;Großmürbisch;229;197;196;171;62;0;155;67.6855895196507
2022-11-16T23:59:59+01:00;10421;Inzenhof;330;259;256;218;54;1;207;62.7272727272727
2022-11-16T23:59:59+01:00;10422;Kleinmürbisch;227;206;201;170;44;0;169;74.4493392070485
2022-11-16T23:59:59+01:00;10423;Tschanigraben;67;60;57;53;14;0;51;76.1194029850746
2022-11-16T23:59:59+01:00;10424;Heugraben;226;189;184;153;26;1;143;63.2743362831858
2022-11-16T23:59:59+01:00;10425;Rohr im Burgenland;365;315;312;261;59;0;261;71.50684931506851
2022-11-16T23:59:59+01:00;10426;Bildein;337;273;270;221;65;0;212;62.90801186943621
2022-11-16T23:59:59+01:00;10427;Rauchwart;460;361;355;280;70;1;274;59.5652173913044
2022-11-16T23:59:59+01:00;10428;Moschendorf;378;305;300;268;88;0;260;68.7830687830688
2022-11-16T23:59:59+01:00;10501;Deutsch Kaltenbrunn;1766;1344;1314;1080;248;5;1047;59.286523216308005
2022-11-16T23:59:59+01:00;10502;Eltendorf;916;704;691;567;137;1;544;59.3886462882096
2022-11-16T23:59:59+01:00;10503;Heiligenkreuz im Lafnitztal;1250;978;963;783;184;0;755;60.4
2022-11-16T23:59:59+01:00;10504;Jennersdorf;4165;3170;3092;2573;617;5;2484;59.639855942377004
2022-11-16T23:59:59+01:00;10505;Minihof-Liebau;1054;848;818;645;179;6;663;62.903225806451594
2022-11-16T23:59:59+01:00;10506;Mogersdorf;1177;891;870;693;155;0;668;56.7544604927783
2022-11-16T23:59:59+01:00;10507;Neuhaus am Klausenbach;930;680;672;569;129;1;558;60.0
2022-11-16T23:59:59+01:00;10508;Rudersdorf;2173;1719;1687;1370;373;2;1317;60.6074551311551
2022-11-16T23:59:59+01:00;10509;Sankt Martin an der Raab;1956;1563;1538;1299;271;0;1265;64.67280163599179
2022-11-16T23:59:59+01:00;10510;Weichselbaum;707;554;546;440;83;0;425;60.1131541725601
2022-11-16T23:59:59+01:00;10511;Königsdorf;765;613;595;487;118;0;486;63.5294117647059
2022-11-16T23:59:59+01:00;10512;Mühlgraben;376;329;326;255;34;0;247;65.6914893617021
2022-11-16T23:59:59+01:00;10601;Draßburg;1245;1006;989;839;241;3;785;63.052208835341396
2022-11-16T23:59:59+01:00;10602;Forchtenstein;2798;2238;2192;1820;435;3;1762;62.9735525375268
2022-11-16T23:59:59+01:00;10603;Hirm;1055;855;842;648;176;2;637;60.37914691943129
2022-11-16T23:59:59+01:00;10604;Loipersbach im Burgenland;1220;897;878;707;181;2;660;54.09836065573771
2022-11-16T23:59:59+01:00;10605;Marz;2086;1713;1678;1384;349;0;1372;65.7718120805369
2022-11-16T23:59:59+01:00;10606;Mattersburg;7560;6046;5931;4706;1202;7;4582;60.60846560846561
2022-11-16T23:59:59+01:00;10607;Neudörfl;4923;3735;3637;2815;671;6;2702;54.8852325817591
2022-11-16T23:59:59+01:00;10608;Pöttelsdorf;771;636;626;515;135;2;505;65.4993514915694
2022-11-16T23:59:59+01:00;10609;Pöttsching;3038;2432;2386;1901;526;1;1852;60.961158657011204
2022-11-16T23:59:59+01:00;10610;Rohrbach bei Mattersburg;2630;2171;2141;1771;455;4;1743;66.2737642585551
2022-11-16T23:59:59+01:00;10611;Bad Sauerbrunn;2278;1746;1702;1371;382;2;1323;58.07726075504829
2022-11-16T23:59:59+01:00;10612;Schattendorf;2405;1967;1945;1630;388;2;1567;65.1559251559252
2022-11-16T23:59:59+01:00;10613;Sieggraben;1267;999;984;808;170;4;793;62.5887924230466
2022-11-16T23:59:59+01:00;10614;Sigleß;1177;936;926;801;266;6;786;66.7799490229397
2022-11-16T23:59:59+01:00;10615;Wiesen;2801;2148;2114;1815;508;5;1765;63.0132095680114
2022-11-16T23:59:59+01:00;10616;Antau;796;633;622;491;101;3;467;58.6683417085427
2022-11-16T23:59:59+01:00;10617;Baumgarten;916;756;741;626;183;0;610;66.5938864628821
2022-11-16T23:59:59+01:00;10618;Zemendorf-Stöttera;1288;1060;1043;849;192;1;834;64.7515527950311
2022-11-16T23:59:59+01:00;10619;Krensdorf;638;490;481;394;109;0;395;61.91222570532911
2022-11-16T23:59:59+01:00;10701;Andau;2297;2004;1981;1720;509;1;1683;73.269481932956
2022-11-16T23:59:59+01:00;10702;Apetlon;1766;1465;1449;1252;298;0;1228;69.5356738391846
2022-11-16T23:59:59+01:00;10703;Bruckneudorf;3070;2442;2397;1959;463;3;1914;62.3452768729642
2022-11-16T23:59:59+01:00;10704;Deutsch Jahrndorf;655;470;468;411;114;0;391;59.694656488549604
2022-11-16T23:59:59+01:00;10705;Frauenkirchen;2934;2371;2331;1956;496;2;1882;64.14451261077029
2022-11-16T23:59:59+01:00;10706;Gattendorf;1456;1087;1060;862;218;1;854;58.65384615384621
2022-11-16T23:59:59+01:00;10707;Gols;4014;3260;3195;2639;710;6;2561;63.801694070752404
2022-11-16T23:59:59+01:00;10708;Halbturn;1918;1608;1590;1363;393;2;1331;69.3952033368092
2022-11-16T23:59:59+01:00;10709;Illmitz;2372;2070;2032;1746;453;3;1744;73.52445193929171
2022-11-16T23:59:59+01:00;10710;Jois;1630;1298;1279;1026;270;2;989;60.6748466257669
2022-11-16T23:59:59+01:00;10711;Kittsee;3578;2085;2025;1614;446;5;1533;42.8451648965903
2022-11-16T23:59:59+01:00;10712;Mönchhof;2191;1854;1819;1521;366;2;1504;68.64445458694661
2022-11-16T23:59:59+01:00;10713;Neusiedl am See;8807;6891;6751;5567;1542;18;5387;61.1672533212218
2022-11-16T23:59:59+01:00;10714;Nickelsdorf;1851;1427;1381;1141;345;0;1140;61.588330632090795
2022-11-16T23:59:59+01:00;10715;Pama;1263;901;885;728;223;3;705;55.8194774346793
2022-11-16T23:59:59+01:00;10716;Pamhagen;1531;1366;1344;1168;260;0;1146;74.8530372305682
2022-11-16T23:59:59+01:00;10717;Parndorf;5271;3577;3466;2643;543;3;2628;49.8577120091064
2022-11-16T23:59:59+01:00;10718;Podersdorf am See;2235;1858;1840;1592;438;1;1539;68.8590604026846
